Inf	Inf	Inf	Inf	13	Inf	67	Inf	30	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	45	57	Inf	Inf	Inf	55	Inf	Inf	40	Inf	Inf	Inf	Inf	Inf	Inf	24	35	Inf	Inf	Inf	Inf	Inf	Inf	9	30	6	62	94	96	Inf	Inf	Inf	31
499	491	481	484	119	496	264	489	353	471	484	459	464	461	461	462	454	97	218	454	442	352	338	456	451	287	451	454	444	445	432	344	317	290	343	342	341	339	342	498	33	336	21	447	389	249	479	479	476	437
Inf	Inf	Inf	Inf	13	Inf	Inf	Inf	30	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	55	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	24	Inf	Inf	Inf	Inf	Inf	41	9	30	6	Inf	Inf	36	Inf	29	61	31	31
444	447	430	459	90	457	456	434	330	427	441	415	407	326	342	328	315	332	336	308	321	273	207	303	325	323	328	328	21	5	324	355	295	520	504	493	483	480	113	10	316	19	443	447	442	475	223	338	169	169
35	Inf	Inf	Inf	13	Inf	Inf	Inf	30	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	45	Inf	Inf	Inf	Inf	55	47	Inf	40	65	Inf	9	29	Inf	24	35	43	44	Inf	Inf	Inf	41	9	30	6	Inf	26	36	Inf	29	Inf	31	31
327	472	461	458	26	451	448	444	391	357	336	354	322	346	344	348	331	311	345	340	337	336	130	243	332	157	302	520	10	401	501	272	324	480	273	485	490	483	75	10	130	7	469	104	144	448	117	471	121	121
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	29	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	9	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
458	457	462	442	402	431	438	452	371	351	342	334	296	322	336	339	339	321	325	336	299	317	495	475	471	474	479	414	443	464	399	451	438	465	453	453	463	444	436	410	143	356	348	349	345	349	306	336	310	339
35	Inf	Inf	Inf	13	Inf	Inf	Inf	30	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	45	57	Inf	Inf	21	55	47	Inf	Inf	Inf	Inf	Inf	9	Inf	Inf	24	35	Inf	44	Inf	Inf	Inf	41	9	30	6	Inf	26	36	Inf	29	Inf	31
331	321	325	327	26	295	307	331	181	313	494	486	477	457	468	470	468	346	393	454	460	246	163	253	450	355	350	359	326	21	349	339	188	171	343	324	324	343	337	129	10	153	7	345	96	135	327	113	316	163
35	Inf	Inf	Inf	13	Inf	Inf	Inf	30	Inf	Inf	Inf	Inf	Inf	Inf	Inf	47	Inf	Inf	Inf	Inf	21	Inf	Inf	Inf	Inf	Inf	Inf	Inf	9	29	Inf	24	35	Inf	Inf	Inf	Inf	Inf	Inf	9	30	6	Inf	26	Inf	29	Inf	31	31
285	315	289	312	41	536	490	507	190	495	483	478	470	483	464	469	358	462	445	458	461	93	354	334	356	353	329	353	331	15	238	350	110	212	340	339	325	337	321	303	10	147	7	336	121	494	184	484	202	202
Inf	Inf	Inf	Inf	13	Inf	Inf	Inf	30	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	21	Inf	Inf	Inf	Inf	Inf	Inf	Inf	9	Inf	24	35	Inf	Inf	Inf	Inf	Inf	Inf	9	30	6	Inf	26	36	Inf	29	Inf	31	31
456	481	473	438	99	473	421	467	148	418	451	329	344	340	333	338	338	315	321	326	323	43	304	325	298	298	306	329	331	56	329	214	136	483	482	463	495	470	436	34	414	20	423	166	298	451	296	451	89	89
35	Inf	Inf	34	13	Inf	Inf	Inf	30	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	21	Inf	Inf	Inf	40	Inf	Inf	Inf	9	29	Inf	24	35	Inf	Inf	Inf	Inf	Inf	41	9	30	6	Inf	26	36	Inf	29	Inf	31	31
311	456	434	326	32	395	417	441	227	449	354	329	333	342	332	340	316	324	325	508	91	513	481	491	479	471	478	483	10	229	481	115	281	462	443	445	458	372	327	10	201	7	363	151	218	349	281	336	166	166
