Inf	Inf	Inf	Inf	13	Inf	67	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	57	Inf	Inf	Inf	55	Inf	Inf	40	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	9	30	6	Inf	94	96	Inf	Inf	Inf	Inf
451	433	427	420	122	428	260	420	417	416	406	410	397	384	375	369	366	355	215	354	355	351	334	367	356	280	349	353	342	344	341	273	273	269	272	266	275	264	266	453	32	333	20	430	360	233	414	413	414	402
Inf	Inf	Inf	Inf	13	Inf	Inf	Inf	30	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	55	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	35	Inf	Inf	Inf	Inf	Inf	41	9	30	6	108	Inf	96	Inf	29	Inf	31
403	390	384	386	89	372	375	365	332	359	350	355	370	278	276	270	271	268	268	263	255	262	139	247	244	244	262	273	130	1	167	276	276	79	474	452	437	424	417	100	9	346	18	294	406	264	401	202	395	108
35	Inf	Inf	Inf	13	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	55	Inf	Inf	40	Inf	Inf	Inf	9	Inf	Inf	24	35	43	44	Inf	Inf	Inf	41	9	30	6	Inf	26	36	Inf	29	Inf	31
306	383	374	377	25	367	362	358	371	288	284	285	278	276	274	269	267	265	267	259	259	252	117	252	250	220	250	242	469	9	450	441	294	364	352	419	418	413	408	73	9	142	6	403	72	154	400	77	386	102
Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	29	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
379	378	372	363	369	363	350	363	376	283	281	279	280	274	265	269	267	265	268	261	265	254	451	436	426	421	416	417	405	401	372	397	393	386	384	376	376	375	372	361	354	383	286	286	286	282	278	276	274	270
Inf	Inf	Inf	Inf	13	44	Inf	Inf	Inf	Inf	Inf	Inf	Inf	50	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	55	47	65	40	Inf	Inf	Inf	9	Inf	59	Inf	35	Inf	44	Inf	Inf	Inf	41	9	30	6	Inf	26	36	Inf	29	Inf	31
265	264	260	255	25	91	272	263	254	252	458	439	427	261	415	410	407	400	409	404	397	398	106	127	305	289	308	304	297	22	292	246	287	258	280	236	278	277	269	237	9	202	6	266	85	163	257	71	254	203
35	Inf	Inf	Inf	13	44	67	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	47	45	57	Inf	Inf	21	55	47	Inf	Inf	65	Inf	Inf	9	29	Inf	24	35	Inf	Inf	Inf	Inf	Inf	Inf	9	30	6	Inf	26	36	Inf	29	Inf	31
120	258	252	251	39	85	139	462	451	449	442	433	428	422	414	406	157	365	201	391	385	56	184	276	302	297	168	291	290	18	224	287	91	205	274	278	271	271	265	265	9	186	6	261	44	48	469	116	447	94
88	Inf	Inf	34	13	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	57	Inf	Inf	57	Inf	Inf	21	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	35	Inf	Inf	67	Inf	Inf	Inf	9	Inf	6	Inf	Inf	96	Inf	29	Inf	31
356	428	419	138	47	410	404	399	391	387	397	302	301	298	293	246	291	288	259	283	282	32	277	275	273	272	267	263	262	260	255	254	464	83	448	440	192	427	423	416	60	406	20	404	396	261	387	118	378	79
35	Inf	Inf	Inf	13	44	67	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	47	45	57	Inf	64	21	55	47	Inf	Inf	65	Inf	Inf	9	29	Inf	24	35	43	44	Inf	Inf	Inf	41	9	30	6	Inf	26	36	Inf	Inf	Inf	31
121	378	368	372	26	112	213	359	356	362	340	290	285	283	278	277	127	208	181	272	459	56	434	378	443	435	229	423	423	9	383	411	105	69	310	251	387	382	402	303	9	151	6	302	131	62	296	293	287	72
